photo,photo_time,imu_time,imu_time_diff_s,seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscope_local_time,gravity_z,gravity_y,gravity_x,gravity_local_time,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometerUncalibrated_local_time,magnetometer_z,magnetometer_y,magnetometer_x,magnetometer_local_time,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,gyroscopeUncalibrated_local_time,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,orientation_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
IMG_2857.JPG,2025-10-15 16:38:48,2025-10-15 16:38:48.136,0.136,123.0,0.114952,-0.011978,0.008214,2025-10-15T16:38:48.136-07:00,-9.794614,0.383247,-0.280149,2025-10-15T16:38:48.136-07:00,-617.484452,57.757007,78.990376,2025-10-15T16:38:48.127-07:00,-49.362964,12.515197,6.693288,2025-10-15T16:38:48.136-07:00,376.031964,-1.0,-1.0,33.303956,406.461667,157.875249,11.069079,4.218548,-111.680085,6.894276,2025-10-15T16:38:49.000-07:00,0.1145,-0.014834,0.006489,2025-10-15T16:38:48.130-07:00,-1.174911,-0.024188,-0.553784,-0.028595,0.832168,-0.001069,-0.039091,2025-10-15T16:38:48.136-07:00,-0.994642,0.038994,-0.032554,2025-10-15T16:38:48.130-07:00,0.043073,-0.000454,-0.04149,2025-10-15T16:38:48.136-07:00
IMG_2858.JPG,2025-10-15 16:38:53,2025-10-15 16:38:53.130,0.13,128.0,0.477455,-0.04361,-0.04805,2025-10-15T16:38:53.130-07:00,-9.709659,0.829675,-1.059796,2025-10-15T16:38:53.130-07:00,-617.942847,55.008261,79.202127,2025-10-15T16:38:53.128-07:00,-50.263288,9.730532,6.934026,2025-10-15T16:38:53.130-07:00,376.183121,-1.0,-1.0,33.303851,406.612824,157.727378,15.121897,3.230895,-111.680061,6.913291,2025-10-15T16:38:54.000-07:00,0.476182,-0.045721,-0.050002,2025-10-15T16:38:53.132-07:00,-0.63679,-0.057259,-0.309356,-0.108728,0.946005,-0.038901,-0.084728,2025-10-15T16:38:53.130-07:00,-0.980906,0.080106,-0.109963,2025-10-15T16:38:53.132-07:00,0.099189,-0.050088,-0.020782,2025-10-15T16:38:53.130-07:00
IMG_2859.JPG,2025-10-15 16:38:57,2025-10-15 16:38:57.128,0.128,132.0,0.883313,-0.130426,-0.012673,2025-10-15T16:38:57.128-07:00,-9.689172,1.289281,-0.748668,2025-10-15T16:38:57.128-07:00,-617.115345,52.24033,81.549685,2025-10-15T16:38:57.132-07:00,-49.473366,7.007115,9.328708,2025-10-15T16:38:57.128-07:00,376.468893,-1.0,-1.0,33.303893,406.898596,157.672206,15.570495,7.874046,-111.680061,6.92569,2025-10-15T16:38:58.053-07:00,0.883491,-0.13292,-0.014545,2025-10-15T16:38:57.129-07:00,-0.224462,-0.069371,-0.108656,-0.077102,0.980913,-0.032297,-0.1319,2025-10-15T16:38:57.128-07:00,-0.977412,0.131193,-0.077782,2025-10-15T16:38:57.129-07:00,0.10127,0.000104,-0.014558,2025-10-15T16:38:57.128-07:00
IMG_2860.JPG,2025-10-15 16:39:07,2025-10-15 16:39:07.128,0.128,142.0,-0.027505,0.005842,0.000315,2025-10-15T16:39:07.128-07:00,-9.64596,1.584925,0.782441,2025-10-15T16:39:07.128-07:00,-614.037457,40.828799,70.687871,2025-10-15T16:39:07.133-07:00,-46.5016,-4.423699,-1.546781,2025-10-15T16:39:07.128-07:00,376.235307,-1.0,-1.0,33.303938,406.66501,351.508561,17.477006,13.78836,-111.680076,5.489842,2025-10-15T16:39:08.059-07:00,-0.02889,0.004103,-0.001529,2025-10-15T16:39:07.132-07:00,1.811311,-0.081724,0.781567,0.080939,0.61721,-0.038853,-0.16233,2025-10-15T16:39:07.128-07:00,-0.97461,0.161942,0.067776,2025-10-15T16:39:07.132-07:00,0.086875,0.001666,-0.123806,2025-10-15T16:39:07.128-07:00
IMG_2861.JPG,2025-10-15 16:39:14,2025-10-15 16:39:14.128,0.128,149.0,0.837613,0.104665,-0.093877,2025-10-15T16:39:14.128-07:00,-9.733221,0.538697,0.949006,2025-10-15T16:39:14.128-07:00,-614.082752,47.386958,63.129028,2025-10-15T16:39:14.135-07:00,-45.847652,2.074808,-9.06487,2025-10-15T16:39:14.128-07:00,,,,,,,,,,,,0.849083,0.100798,-0.099764,2025-10-15T16:39:14.132-07:00,1.93851,0.051444,-0.987363,0.097202,-0.099712,0.024812,-0.054967,2025-10-15T16:39:14.128-07:00,-0.984727,0.079794,0.115786,2025-10-15T16:39:14.132-07:00,0.058416,0.223658,0.17954,2025-10-15T16:39:14.128-07:00
IMG_2862.JPG,2025-10-15 16:39:20,2025-10-15 16:39:20.134,0.134,155.0,-0.511991,0.160145,-0.048879,2025-10-15T16:39:20.134-07:00,-9.780119,0.342401,-0.494266,2025-10-15T16:39:20.134-07:00,-617.248825,57.543344,78.107751,2025-10-15T16:39:20.132-07:00,-48.746431,12.177219,5.988522,2025-10-15T16:39:20.134-07:00,376.300154,33.33,-1.0,33.303966,406.729857,-1.0,19.658402,3.0,-111.680085,0.0,2025-10-15T16:39:21.025-07:00,-0.513728,0.157643,-0.051691,2025-10-15T16:39:20.128-07:00,-1.110101,-0.026743,-0.524953,-0.050461,0.847431,-0.012739,-0.034924,2025-10-15T16:39:20.134-07:00,-0.982618,0.02837,-0.073841,2025-10-15T16:39:20.128-07:00,0.144713,-0.072199,-0.247631,2025-10-15T16:39:20.134-07:00
IMG_2863.JPG,2025-10-15 16:39:29,2025-10-15 16:39:29.133,0.133,164.0,0.433382,-0.059046,-0.116466,2025-10-15T16:39:29.133-07:00,-9.722779,-0.083798,0.531561,2025-10-15T16:39:29.133-07:00,-617.250643,56.810371,79.018969,2025-10-15T16:39:29.127-07:00,-48.697147,11.473645,6.910919,2025-10-15T16:39:29.133-07:00,376.535799,2.536057,180.0,33.303993,406.965502,63.476473,15.832867,4.881103,-111.680077,0.845233,2025-10-15T16:39:30.031-07:00,0.43014,-0.059278,-0.120978,2025-10-15T16:39:29.127-07:00,-1.396917,0.025263,-0.628564,0.054703,0.750683,0.00844,0.008531,2025-10-15T16:39:29.133-07:00,-0.967526,0.024368,0.011968,2025-10-15T16:39:29.127-07:00,0.237126,0.320495,-0.410864,2025-10-15T16:39:29.133-07:00
IMG_2864.JPG,2025-10-15 16:39:36,2025-10-15 16:39:36.133,0.133,171.0,0.999181,-0.266086,-0.000909,2025-10-15T16:39:36.133-07:00,-9.721834,0.757143,-0.659695,2025-10-15T16:39:36.133-07:00,-617.7908,48.180412,81.356755,2025-10-15T16:39:36.130-07:00,-49.204827,2.931854,9.452718,2025-10-15T16:39:36.133-07:00,376.375177,0.926305,-1.0,33.303985,406.80488,-1.0,9.63849,3.615681,-111.680122,0.0,2025-10-15T16:39:37.033-07:00,0.998028,-0.265289,-0.005383,2025-10-15T16:39:36.127-07:00,-0.07983,-0.034637,-0.038513,-0.06806,0.985963,-0.034968,-0.077377,2025-10-15T16:39:36.133-07:00,-0.981261,0.090189,-0.057575,2025-10-15T16:39:36.127-07:00,0.089873,0.117149,0.106592,2025-10-15T16:39:36.133-07:00
IMG_2865.JPG,2025-10-15 16:39:42,2025-10-15 16:39:42.129,0.129,177.0,0.309572,-0.100927,0.024786,2025-10-15T16:39:42.129-07:00,-9.69238,1.36416,0.554067,2025-10-15T16:39:42.129-07:00,-614.120634,40.190197,72.551378,2025-10-15T16:39:42.136-07:00,-45.857672,-4.956294,0.514694,2025-10-15T16:39:42.129-07:00,376.322201,33.33,-1.0,33.304023,406.751904,-1.0,11.496806,3.586249,-111.680111,0.568798,2025-10-15T16:39:43.033-07:00,0.305572,-0.10069,0.0226,2025-10-15T16:39:42.133-07:00,1.590787,-0.069009,0.709909,0.057139,0.698746,-0.02939,-0.13957,2025-10-15T16:39:42.129-07:00,-0.981685,0.144413,0.045082,2025-10-15T16:39:42.133-07:00,0.068418,0.050266,-0.110126,2025-10-15T16:39:42.129-07:00
IMG_2866.JPG,2025-10-15 16:39:53,2025-10-15 16:39:53.127,0.127,188.0,-0.003603,-0.007869,-0.007135,2025-10-15T16:39:53.127-07:00,-9.770732,0.712941,0.438477,2025-10-15T16:39:53.127-07:00,-614.064903,43.50267,62.205129,2025-10-15T16:39:53.133-07:00,-45.228475,-1.595786,-9.796207,2025-10-15T16:39:53.127-07:00,376.205837,33.33,-1.0,33.303886,406.635539,-1.0,16.536276,3.0,-111.680068,0.687741,2025-10-15T16:39:53.999-07:00,-0.004952,-0.010149,-0.00943,2025-10-15T16:39:53.131-07:00,2.598114,0.031346,-0.962202,0.044846,-0.268944,0.029016,-0.072764,2025-10-15T16:39:53.127-07:00,-0.983978,0.073929,0.038763,2025-10-15T16:39:53.131-07:00,0.118852,0.011696,-0.061659,2025-10-15T16:39:53.127-07:00
